,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,constantStairwellLengthRatios,constantStairwellPotentialRatios,backend
0,3.1491504310660556e-09,0.9999966005288914,3.3963219586262943e-06,1.0000000000000004,0,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
1,3.741555505476959e-09,0.9999960800259479,3.916232496444955e-06,0.9999999999999998,1,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
2,4.390800142144701e-09,0.9999954501136018,4.545495598196061e-06,1.0000000000000002,2,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
3,5.119169195936057e-09,0.9999947052591586,5.28962167256469e-06,1.0000000000000002,3,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
4,5.959639810927892e-09,0.9999938417434863,6.1522968737930926e-06,0.9999999999999999,4,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
5,6.945733382267396e-09,0.9999928528082077,7.140246058547329e-06,0.9999999999999997,5,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
6,8.104767034995792e-09,0.9999917255750309,8.266320201922213e-06,0.9999999999999999,6,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
7,9.459345425790054e-09,0.9999904399899104,9.550550744109514e-06,1.0,7,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
8,1.1033958115570857e-08,0.9999889703236848,1.101864235681862e-05,0.9999999999999998,8,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
9,1.2863175048723288e-08,0.9999872879987163,1.269913810875769e-05,1.0,9,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
10,1.4996244892431007e-08,0.9999853638864327,1.4621117322449259e-05,1.0,10,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
11,1.749624037663279e-08,0.9999831688545677,1.6813649191731598e-05,0.9999999999999999,11,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
12,2.0436580290140626e-08,0.9999806723009208,1.930726249864335e-05,0.9999999999999998,12,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
13,2.3900353340182307e-08,0.9999778396419592,2.2136457687360538e-05,0.9999999999999999,13,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
14,2.7986304950008805e-08,0.9999746299379589,2.5342075735820107e-05,0.9999999999999997,14,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
15,3.281858104056819e-08,0.9999709946037245,2.8972577694368345e-05,0.9999999999999999,15,0.05,0.0006250000000000001,1.0,160,0.44000000000000006,0.08,200,0.8,0.5,0.5,47.12388980384689,"[0.28, 0.08, 0.08, 0.08, 0.48]","[0, 0, 0, 1, 0]",numpy
