,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,constantStairwellLengthRatios,constantStairwellPotentialRatios,backend
0,7.462718286493587e-20,0.9999999999997482,2.520057566399963e-13,1.0000000000000002,0,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
1,9.358102196933788e-20,0.9999999999996961,3.038056975582867e-13,0.9999999999999999,1,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
2,1.184469573417893e-19,0.999999999999632,3.6830526471693816e-13,1.0000000000000002,2,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
3,1.513365869064101e-19,0.9999999999995512,4.489622365420083e-13,1.0000000000000002,3,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
4,1.951959562130421e-19,0.99999999999945,5.502332223881479e-13,1.0000000000000002,4,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
5,2.5416874108330923e-19,0.999999999999322,6.778873687123625e-13,0.9999999999999999,5,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
6,3.3412443283427036e-19,0.9999999999991606,8.394094338861969e-13,1.0,6,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
7,4.434349727728885e-19,0.9999999999989554,1.0445294592742233e-12,0.9999999999999999,7,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
8,5.9412238903159e-19,0.999999999998694,1.3059188827642257e-12,1.0,8,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
9,8.0356224912554715e-19,0.99999999999836,1.6401052065195218e-12,1.0,9,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
10,1.0970221269143944e-18,0.9999999999979312,2.0686735173278388e-12,0.9999999999999999,10,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
11,1.5114571653130561e-18,0.9999999999973805,2.619844220755919e-12,1.0000000000000004,11,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
12,2.1012005685891817e-18,0.9999999999966697,3.3305432904665002e-12,1.0000000000000002,12,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
13,2.9465121182838888e-18,0.9999999999957506,4.249116068432827e-12,0.9999999999999998,13,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
14,4.166437121422679e-18,0.9999999999945614,5.4388806488363915e-12,1.0000000000000002,14,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
15,5.938161952851914e-18,0.9999999999930173,6.982774638259349e-12,1.0,15,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
16,8.526148711262361e-18,0.9999999999910103,8.989422656934723e-12,0.9999999999999998,16,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
17,1.2325963773517593e-17,0.9999999999883986,1.1601045571915646e-11,0.9999999999999997,17,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
18,1.7930136034290123e-17,0.999999999984996,1.5003751559378114e-11,0.9999999999999998,18,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
19,2.6226956992612178e-17,0.999999999980559,1.94409001326688e-11,0.9999999999999999,19,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
20,3.854839503535287e-17,0.9999999999747698,2.5230420728941602e-11,1.0000000000000002,20,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
21,5.689099793597679e-17,0.9999999999672129,3.278720641916107e-11,1.0000000000000002,21,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
22,8.4244882241111e-17,0.9999999999573479,4.265200253419995e-11,1.0,22,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
23,1.250821914378508e-16,0.9999999999444712,5.55285840017075e-11,0.9999999999999999,23,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
24,1.8607991267529318e-16,0.9999999999276681,7.233148043874367e-11,0.9999999999999998,24,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
25,2.7718571132329707e-16,0.9999999999057523,9.424708335966559e-11,0.9999999999999997,25,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
26,4.1318371156829676e-16,0.999999999877188,1.2281167870641277e-10,1.0,26,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
27,6.15985805217993e-16,0.9999999998399886,1.6001081982256788e-10,1.0,27,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
28,9.179712358377077e-16,0.9999999997915936,2.0840552503269114e-10,1.0,28,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
29,1.3668340270236322e-15,0.9999999997287066,2.7129208712119175e-10,1.0,29,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
30,2.0325895081439683e-15,0.9999999996470941,3.5290386231056864e-10,1.0,30,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
31,3.0176583953902192e-15,0.9999999995413316,4.5866531820527126e-10,0.9999999999999999,31,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
32,4.471317527918625e-15,0.9999999994044846,5.955109279251255e-10,1.0,32,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
33,6.610317918690642e-15,0.9999999992277088,7.722842687972438e-10,0.9999999999999997,33,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
34,9.748173269934795e-15,0.9999999989997541,1.0002359901656638e-09,0.9999999999999999,34,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
35,1.4336581974464382e-14,0.9999999987063424,1.2936432443019884e-09,1.0,35,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
36,2.1023750813231723e-14,0.9999999983294013,1.6705778377486472e-09,1.0000000000000002,36,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
37,3.0736154745924464e-14,0.9999999978461135,2.1538558763088245e-09,1.0,37,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
38,4.479264548431671e-14,0.9999999972277474,2.7722081567364056e-09,1.0000000000000002,38,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
39,6.506300836012177e-14,0.9999999964382169,3.561718125181771e-09,1.0,39,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
40,9.418731693399237e-14,0.9999999954323225,4.5675830433722304e-09,0.9999999999999998,40,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
41,1.3587807622879247e-13,0.9999999941536003,5.84626427044853e-09,1.0000000000000004,41,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
42,1.9533459871185592e-13,0.9999999925316998,7.468104441456563e-09,0.9999999999999996,42,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
43,2.7980885665980215e-13,0.9999999904792173,9.520502935826273e-09,1.0,43,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
44,3.9937487833688565e-13,0.9999999878878443,1.2111756576299239e-08,1.0000000000000002,44,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
45,5.67970461699858e-13,0.9999999846237417,1.5375690268896467e-08,1.0,45,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
46,8.048016465106966e-13,0.9999999805219729,1.9477222539605176e-08,1.0000000000000002,46,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
47,1.136228356300456e-12,0.9999999753798302,2.4619033748626636e-08,1.0000000000000002,47,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
48,1.5982855610646669e-12,0.999999968948871,3.104953028570432e-08,0.9999999999999996,48,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
49,2.240040288160067e-12,0.9999999609254333,3.907232662203145e-08,1.0,49,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
50,3.1280433780308536e-12,0.9999999509393731,4.9057499119366805e-08,1.0000000000000002,50,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
51,4.352209160327843e-12,0.9999999385407468,6.14549010056242e-08,1.0,51,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
52,6.033549988194524e-12,0.9999999231840998,7.680986668392505e-08,1.0,52,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
53,8.334310400535511e-12,0.9999999042099899,9.578167573571429e-08,0.9999999999999999,53,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
54,1.1471193169609304e-11,0.999999880823335,1.1916519332867595e-07,0.9999999999999996,54,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
55,1.573255334206508e-11,0.999999852068113,1.4791615447338172e-07,1.0,55,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
56,2.1500664510690653e-11,0.9999998167978853,1.8318061379105818e-07,0.9999999999999998,56,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
57,2.9280443330716326e-11,0.9999997736415801,2.2632913951227363e-07,1.0,57,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
58,3.973636496463023e-11,0.9999997209638726,2.7899639132293325e-07,1.0000000000000002,58,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
59,5.373972706375109e-11,0.999999656819473,3.4312678740778683e-07,1.0000000000000002,59,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
60,7.242893843802899e-11,0.9999995789005361,4.2102703485340194e-07,0.9999999999999999,60,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
61,9.728613825805293e-11,0.9999994844763472,5.15426366502531e-07,0.9999999999999999,61,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
62,1.3023421309694654e-10,0.9999993703243688,6.29545396866103e-07,0.9999999999999999,62,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
63,1.7375919690629874e-10,0.9999992326516574,7.671745833582406e-07,0.9999999999999999,63,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
64,2.3106414097927613e-10,0.9999990670055796,9.327633561483597e-07,0.9999999999999999,64,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
65,3.0626185733790257e-10,0.9999988681726848,1.1315210532928033e-06,1.0,65,0.01,2.5e-05,1.0,100,0.35,0.1,200,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
