,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,backend
0,9.269752179005849e-10,0.9999664792805625,3.351979246239192e-05,1.0,0.0,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
1,1.0835146863995356e-09,0.9999628101501474,3.7188766337887784e-05,1.0,2.5e-05,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
2,1.2708707517129492e-09,0.9999586963616589,4.130236747045261e-05,1.0,5e-05,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
3,1.4956373274875966e-09,0.9999540818436623,4.5916660700691564e-05,1.0000000000000002,7.500000000000001e-05,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
4,1.7658464340085554e-09,0.9999489047961295,5.1093438023705726e-05,0.9999999999999997,0.0001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
5,2.0913251691568435e-09,0.9999430960503726,5.6901858302370816e-05,1.0,0.000125,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
6,2.4841027043828427e-09,0.9999365782630816,6.341925281570295e-05,1.0,0.00015000000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
7,2.9589089891427575e-09,0.9999292650318559,7.073200923506214e-05,0.9999999999999999,0.000175,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
8,3.5337850151653847e-09,0.9999210599321993,7.893653401593403e-05,1.0000000000000002,0.0002,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
9,4.23082831922776e-09,0.9999118554805233,8.814028864837337e-05,1.0,0.00022500000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
10,5.077102617516426e-09,0.9999015320169541,9.84629059427535e-05,0.9999999999999994,0.00025,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
11,6.105746681681846e-09,0.9998899564942627,0.00011003739999050046,0.9999999999999999,0.000275,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
12,7.357324052217002e-09,0.9998769811700898,0.00012301147258626295,1.0000000000000002,0.00030000000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
13,8.881462875499447e-09,0.9998624422058245,0.00013754891271288507,1.0000000000000002,0.00032500000000000004,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
14,1.073884492491248e-08,0.9998461581680027,0.0001538310931526578,1.0000000000000002,0.00035,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
15,1.3003614256683995e-08,0.9998279284245258,0.00017205857185993438,1.0,0.000375,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
16,1.5766288582038398e-08,0.9998075314347725,0.00019245279893888417,1.0,0.0004,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
17,1.9137270957524393e-08,0.9997847229386567,0.00021525792407207998,0.9999999999999998,0.00042500000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
18,2.3251076653444826e-08,0.9997592340480271,0.00024074270089593838,0.9999999999999998,0.00045000000000000004,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
19,2.8271410356906342e-08,0.9997307692389132,0.00026920248967652135,1.0000000000000002,0.000475,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
20,3.439725189196377e-08,0.9996990042436088,0.0003009613591394273,1.0000000000000002,0.0005,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
21,4.187013431714213e-08,0.9996635838480747,0.00033637428179100146,1.0,0.0005250000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
22,5.098282758964531e-08,0.9996241196033094,0.00037582941386288114,0.9999999999999999,0.00055,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
23,6.208967509506029e-08,0.9995801874553021,0.00041975045502274326,0.9999999999999999,0.000575,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
24,7.561886893252913e-08,0.9995313252963748,0.000468599084756416,1.0000000000000002,0.0006000000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
25,9.208699199168369e-08,0.9994770304482243,0.0005228774647837389,1.0,0.000625,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
26,1.1211620127947181e-07,0.9994167570953255,0.0005831307884732815,1.0,0.0006500000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
27,1.36454479785505e-07,0.9993499136857646,0.0006499498597553748,0.9999999999999998,0.000675,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
28,1.6599944403484405e-07,0.9992758603099433,0.0007239736906127802,1.0000000000000002,0.0007,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
29,2.0182625944460988e-07,0.999193906069555,0.0008058921041852427,0.9999999999999998,0.0007250000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
30,2.452202847604705e-07,0.9991033064591588,0.0008964483205566508,1.0000000000000002,0.00075,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
31,2.977151428609233e-07,0.9990032607855499,0.0009964414993074923,1.0000000000000002,0.0007750000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
32,3.611370004571782e-07,0.9988929096425719,0.0011067292204276738,1.0,0.0008,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
33,4.376559310161465e-07,0.998771332456478,0.0012282298875911097,1.0,0.000825,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
34,5.298453291971573e-07,0.9986375451286954,0.0013619250259750632,0.9999999999999997,0.0008500000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
35,6.407504426367176e-07,0.9984904978142313,0.0015088614353265402,1.0000000000000004,0.000875,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
36,7.73967194129226e-07,0.9983290728683967,0.001670153164409108,0.9999999999999999,0.0009000000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
37,9.337325842664038e-07,0.9981520829814744,0.0018469832859412615,0.9999999999999999,0.000925,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
38,1.1250280821423513e-06,0.9979582695230268,0.002040605448891229,1.0000000000000002,0.00095,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
39,1.3536975248778895e-06,0.9977463011324401,0.0022523451700350314,1.0,0.0009750000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
40,1.626581164504703e-06,0.9975147725934096,0.002483600825425916,1.0,0.001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
41,1.95166763047384e-06,0.9972622040124053,0.0027358443199641228,0.9999999999999999,0.001025,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
42,2.338265704482401e-06,0.9969870403139132,0.003010621420382226,0.9999999999999999,0.0010500000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
43,2.79719791237083e-06,0.9966876510843171,0.0033095517177705964,1.0,0.001075,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
44,3.341018031875196e-06,0.9963623308130739,0.0036343281688943144,1.0,0.0011,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
45,3.984254720010142e-06,0.9960092995636859,0.003986716181593828,0.9999999999999998,0.0011250000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
46,4.7436835776737605e-06,0.9956267040783301,0.004368552238092145,0.9999999999999999,0.00115,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
47,5.638630051720313e-06,0.9952126193226872,0.004781742047260545,0.9999999999999994,0.001175,0.01,2.5e-05,1.0,100,0.5,0.1,0,0.8,0.5,0.05,47.12388980384689,numpy
