,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,constantStairwellLengthRatios,constantStairwellPotentialRatios,backend
0,7.462718286493587e-20,0.9999999999997482,2.520057566399963e-13,1.0000000000000002,0,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
1,9.358102196933788e-20,0.9999999999996961,3.038056975582867e-13,0.9999999999999999,1,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
2,1.184469573417893e-19,0.999999999999632,3.683052647169381e-13,1.0000000000000002,2,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
3,1.513365869064101e-19,0.9999999999995512,4.4896223654200824e-13,1.0000000000000002,3,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
4,1.9519595621304212e-19,0.9999999999994497,5.502332223881477e-13,0.9999999999999999,4,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
5,2.541687410833093e-19,0.9999999999993218,6.778873687123624e-13,0.9999999999999997,5,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
6,3.341244328342704e-19,0.9999999999991606,8.394094338861969e-13,1.0,6,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
7,4.434349727728883e-19,0.9999999999989554,1.0445294592742233e-12,0.9999999999999999,7,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
8,5.94122389031589e-19,0.9999999999986943,1.3059188827642263e-12,1.0000000000000002,8,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
9,8.03562249125545e-19,0.99999999999836,1.640105206519523e-12,1.0,9,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
10,1.0970221269143917e-18,0.9999999999979309,2.0686735173278408e-12,0.9999999999999996,10,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
11,1.5114571653130542e-18,0.9999999999973802,2.619844220755921e-12,1.0,11,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
12,2.101200568589185e-18,0.9999999999966694,3.3305432904665047e-12,1.0,12,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
13,2.9465121182839e-18,0.9999999999957512,4.249116068432832e-12,1.0000000000000002,13,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
14,4.166437121422707e-18,0.9999999999945616,5.438880648836389e-12,1.0000000000000004,14,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
15,5.938161952851988e-18,0.9999999999930173,6.982774638259329e-12,1.0,15,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
16,8.52614871126254e-18,0.9999999999910103,8.989422656934676e-12,0.9999999999999998,16,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
17,1.2325963773517934e-17,0.9999999999883986,1.1601045571915574e-11,0.9999999999999997,17,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
18,1.7930136034290518e-17,0.999999999984996,1.500375155937804e-11,0.9999999999999998,18,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 0, 1, 0]",numpy
