,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,constantStairwellLengthRatios,constantStairwellPotentialRatios,backend
0,9.269752179005849e-10,0.9999664792805625,3.351979246239192e-05,1.0,0.0,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
1,1.0582399861604228e-09,0.9999636416086145,3.635733314546367e-05,1.0,2.5e-05,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
2,1.21093576945736e-09,0.9999605580111974,3.944077786659161e-05,0.9999999999999998,5e-05,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
3,1.3889835635851594e-09,0.9999572019850601,4.279662595673108e-05,1.0000000000000004,7.500000000000001e-05,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
4,1.5972649952668885e-09,0.9999535451233382,4.645327939688139e-05,1.0,0.0001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
5,1.842149486506905e-09,0.9999495564885464,5.04416693039224e-05,0.9999999999999999,0.000125,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
6,2.1312412454376586e-09,0.9999452034698965,5.479439886242811e-05,1.0000000000000002,0.00015000000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
7,2.4709211400663106e-09,0.9999404525844615,5.954494461748516e-05,1.0000000000000002,0.000175,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
8,2.8612580039271114e-09,0.9999352684285656,6.472871017613224e-05,0.9999999999999998,0.0002,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
9,3.290417561775961e-09,0.9999296113126026,7.03853969800273e-05,1.0000000000000002,0.00022500000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
10,3.733964278625567e-09,0.9999234357986958,7.656046734001559e-05,1.0,0.00025,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
11,4.168996009438587e-09,0.9999166905775588,8.330525344525886e-05,1.0,0.000275,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
12,4.619974316569505e-09,0.999909318328795,9.067705123067025e-05,1.0,0.00030000000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
