,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,constantStairwellLengthRatios,constantStairwellPotentialRatios,backend
0,9.269752179005849e-10,0.9999664792805625,3.351979246239192e-05,1.0,0.0,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
1,1.066805066292821e-09,0.9999627970302282,3.7201902966505446e-05,0.9999999999999998,2.5e-05,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
2,1.2088914285451615e-09,0.999957650667477,4.234812363169753e-05,1.0000000000000002,5e-05,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
3,1.365096066713892e-09,0.9999511268594357,4.8871775468656174e-05,1.0000000000000004,7.500000000000001e-05,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
4,1.5602402670941426e-09,0.9999432951073769,5.670333238273802e-05,0.9999999999999999,0.0001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
5,1.820943396353915e-09,0.9999341982820107,6.579989704628363e-05,1.0000000000000004,0.000125,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
6,2.1611528169736744e-09,0.9999238303213781,7.616751746892371e-05,0.9999999999999999,0.00015000000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
7,2.57372002091779e-09,0.999912117808993,8.787961728676791e-05,0.9999999999999998,0.000175,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
8,3.0255164990521993e-09,0.9998989092840971,0.00010108769038654953,1.0000000000000002,0.0002,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
9,3.462089700220126e-09,0.9998840314808141,0.00011596505709624407,1.0,0.00022500000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
10,3.805033263426133e-09,0.9998673360287472,0.00013266016621933305,0.9999999999999998,0.00025,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
11,3.972329303049549e-09,0.9998483842281799,0.000151611799490753,1.0,0.000275,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
