,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,constantStairwellLengthRatios,constantStairwellPotentialRatios,backend
0,9.269752179005849e-10,0.9999664792805625,3.351979246239192e-05,1.0,0.0,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",numpy
1,1.0406998015270996e-09,0.9999627826636006,3.7216295699800824e-05,1.0000000000000002,2.5e-05,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",numpy
2,1.1111571196580982e-09,0.9999581765398142,4.1822349028720185e-05,1.0,5e-05,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",numpy
3,1.1405025046481151e-09,0.9999526315334204,4.736732607749269e-05,1.0000000000000004,7.500000000000001e-05,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",numpy
4,1.143888309291928e-09,0.9999461311594265,5.386769668521905e-05,1.0,0.0001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",numpy
5,1.1440353929553032e-09,0.9999386475375313,6.135131843334019e-05,1.0,0.000125,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",numpy
6,1.1630052637595974e-09,0.9999301243611463,6.98744758484126e-05,0.9999999999999999,0.00015000000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",numpy
7,1.2292316141300948e-09,0.999920470087115,7.952868365348062e-05,1.0000000000000002,0.000175,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",numpy
8,1.4095076862001708e-09,0.9999095570307468,9.044155974537348e-05,0.9999999999999999,0.0002,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",numpy
9,2.0046828646781726e-09,0.9998972221796857,0.00010277581563137611,0.9999999999999999,0.00022500000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",numpy
10,2.871473032415623e-09,0.99988327762119,0.00011671950733676935,0.9999999999999998,0.00025,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.5, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.4]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",numpy
