,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,backend
0,9.269752179005849e-10,0.9999664792805625,3.351979246239192e-05,1.0,0.0,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
1,1.0403874171386086e-09,0.9999627994850261,3.7199474586557e-05,1.0,2.5e-05,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
2,1.109689887687894e-09,0.9999576415233395,4.235736697045478e-05,0.9999999999999999,5e-05,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
3,1.1397647791479264e-09,0.9999510910935427,4.8907766692333296e-05,0.9999999999999999,7.500000000000001e-05,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
4,1.1558114179293534e-09,0.9999432152747497,5.6783569438754594e-05,0.9999999999999999,0.0001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
5,1.1927339989034105e-09,0.9999340482612844,6.595054598143659e-05,0.9999999999999999,0.000125,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
6,1.2644009250336422e-09,0.9999235732406802,7.64254949186555e-05,0.9999999999999998,0.00015000000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
7,1.362330140650688e-09,0.9999117227017191,8.827593595094663e-05,1.0000000000000002,0.000175,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
8,1.5428418247751746e-09,0.9998983753055419,0.00010162315161604668,0.9999999999999998,0.0002,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
9,1.8281137008953764e-09,0.9998833643109412,0.0001166338609449652,0.9999999999999998,0.00022500000000000002,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
10,2.1435988676731224e-09,0.9998665244495111,0.0001334734068901211,1.0,0.00025,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
11,2.4844352201391007e-09,0.9998476385414808,0.00015235897408402596,1.0,0.000275,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
12,2.821916484775361e-09,0.9998265068981997,0.00017349027988388548,1.0,0.00030000000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
13,3.087791245402133e-09,0.9998030585175351,0.00019693839467335256,0.9999999999999998,0.00032500000000000004,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
14,3.1999341459847534e-09,0.9997768329665925,0.00022316383347322386,0.9999999999999999,0.00035,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
15,3.20599974665633e-09,0.9997477728356433,0.0002522239583571591,1.0000000000000002,0.000375,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
16,3.7038444267077566e-09,0.999715754729125,0.0002842415670309175,1.0000000000000004,0.0004,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
17,5.701440711497709e-09,0.9996804272319021,0.00031956706665705947,0.9999999999999999,0.00042500000000000003,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
18,1.0698672477973544e-08,0.9996415375831893,0.0003584517181383258,1.0,0.00045000000000000004,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
19,1.8784229551700836e-08,0.9995987572015563,0.0004012240142141938,1.0,0.000475,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
20,3.09784809427589e-08,0.999551691085627,0.0004482779358920947,1.0,0.0005,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
21,4.867327274419722e-08,0.9994999097742295,0.0005000415524974798,0.9999999999999998,0.0005250000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
22,7.380061786118323e-08,0.9994429467632494,0.0005569794361327342,1.0,0.00055,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
23,1.0907754536171573e-07,0.9993802945510168,0.0006195963714376422,0.9999999999999999,0.000575,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
24,1.5832848156483464e-07,0.9993114025411197,0.0006884391303985947,0.9999999999999999,0.0006000000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
25,2.2686570015937437e-07,0.9992356734597655,0.0007640996745343701,1.0,0.000625,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
26,3.2188634803456765e-07,0.9991524593579191,0.0008472187557329493,1.0,0.0006500000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
27,4.528502919651952e-07,0.9990610586604105,0.000938488489297823,1.0000000000000002,0.000675,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
28,6.318223011014156e-07,0.9989607147203122,0.001038653457386626,1.0,0.0007,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
29,8.737804240444844e-07,0.9988506157394202,0.0011485104801557127,1.0,0.0007250000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
30,1.1968972177873714e-06,0.9987298955612417,0.0012689075415406486,1.0000000000000002,0.00075,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
31,1.622794892095154e-06,0.998597634623653,0.0014007425814546457,0.9999999999999998,0.0007750000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
32,2.1767684402652136e-06,0.998452860360999,0.0015449628705609228,1.0000000000000002,0.0008,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
33,2.887967904352932e-06,0.9982945465961138,0.0017025654359817928,1.0,0.000825,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
34,3.789532525100655e-06,0.9981216118640613,0.0018745986034134903,0.9999999999999999,0.0008500000000000001,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
35,4.918673295278712e-06,0.997932916990034,0.0020621643366705196,0.9999999999999998,0.000875,0.01,2.5e-05,1.0,100,0.5,0.1,20000,0.8,0.5,0.05,47.12388980384689,numpy
