,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,constantStairwellLengthRatios,constantStairwellPotentialRatios,backend
0,7.462718286493587e-20,0.9999999999997482,2.520057566399963e-13,1.0000000000000002,0.0,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.03333333333333333, 0.03333333333333333, 0.25]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
1,9.149616284583037e-20,0.9999999999996991,3.007903761685845e-13,0.9999999999999999,2.5e-05,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.03333333333333333, 0.03333333333333333, 0.25]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
2,1.102527620083161e-19,0.9999999999996425,3.57299337672597e-13,0.9999999999999998,5e-05,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.03333333333333333, 0.03333333333333333, 0.25]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
3,1.3325867569143344e-19,0.9999999999995857,4.147792015003536e-13,1.0000000000000004,7.500000000000001e-05,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.03333333333333333, 0.03333333333333333, 0.25]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
4,1.639803549457731e-19,0.9999999999995314,4.688118033808753e-13,1.0000000000000002,0.0001,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.03333333333333333, 0.03333333333333333, 0.25]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
5,2.009960185205817e-19,0.9999999999994739,5.261850495280212e-13,1.0,0.000125,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.03333333333333333, 0.03333333333333333, 0.25]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
6,2.31180933429568e-19,0.9999999999993929,6.070217322488108e-13,1.0,0.00015000000000000001,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.03333333333333333, 0.03333333333333333, 0.25]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
7,2.864138885361329e-19,0.9999999999992728,7.269636208561816e-13,0.9999999999999998,0.000175,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.03333333333333333, 0.03333333333333333, 0.25]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
8,6.045832865654834e-19,0.9999999999991179,8.818642125362261e-13,0.9999999999999998,0.0002,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.03333333333333333, 0.03333333333333333, 0.25]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
9,1.5202748687322983e-18,0.9999999999989385,1.0614265949684458e-12,0.9999999999999999,0.00022500000000000002,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.03333333333333333, 0.03333333333333333, 0.25]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",numpy
