,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,constantStairwellLengthRatios,constantStairwellPotentialRatios,backend
0,7.462718286493587e-20,0.9999999999997482,2.520057566399963e-13,1.0000000000000002,0.0,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 1, 0, 0]",numpy
1,9.357857202618726e-20,0.9999999999996912,3.0834757158046413e-13,0.9999999999999996,2.5e-05,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 1, 0, 0]",numpy
2,1.1854536533160676e-19,0.9999999999996292,3.709470355601736e-13,1.0000000000000002,5e-05,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 1, 0, 0]",numpy
3,1.5242505539397106e-19,0.9999999999995792,4.210237191923695e-13,1.0000000000000002,7.500000000000001e-05,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 1, 0, 0]",numpy
4,1.956618961876657e-19,0.9999999999995604,4.396962346973502e-13,1.0,0.0001,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 1, 0, 0]",numpy
5,2.242943462938221e-19,0.9999999999995862,4.141069718140294e-13,1.0000000000000002,0.000125,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 1, 0, 0]",numpy
6,2.2129409639395657e-19,0.9999999999996515,3.48420134601269e-13,0.9999999999999999,0.00015000000000000001,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 1, 0, 0]",numpy
7,6.394282920756847e-19,0.9999999999996704,3.296844811933628e-13,1.0,0.000175,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 1, 0, 0]",numpy
8,2.1751867142382682e-18,0.9999999999995304,4.693440095624975e-13,0.9999999999999997,0.0002,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 1, 0, 0]",numpy
9,5.734790060977202e-18,0.9999999999993254,6.746628033748152e-13,1.0,0.00022500000000000002,0.01,2.5e-05,1.0,100,0.35,0.1,20000,0.8,0.5,0.05,47.12388980384689,"[0.35, 0.1, 0.1, 0.1, 0.25]","[0, 0, 1, 0, 0]",numpy
