,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Fine Grain: sparse.csr_matrix,Fine Grain: Solve for nextWaveFunction,Fine Grain: Reshape nextWaveFunction,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,74784.024107854,74784.024493167,74784.024807871,74784.024810175,74784.024841255,74784.026431325,74784.027481105,74797.349024093,74797.349068372,74797.349074239,74797.34938538,74797.34942966
1,74797.350547954,74797.352035428,74797.35355028,74797.35355468,74797.353652178,74797.356248587,74797.358057121,74810.87511047,74810.87515014,74810.875153422,74810.875446545,74810.875488589
2,74810.876598363,74810.878509772,74810.879459959,74810.87946422,74810.879561508,74810.882214768,74810.884058571,74824.445119305,74824.445160721,74824.445163584,74824.445480174,74824.445525361
3,74824.446729141,74824.448611146,74824.44960226,74824.44960701,74824.44970325,74824.452422999,74824.454207088,74838.04182026,74838.041860837,74838.04186412,74838.042188671,74838.042231972
4,74838.043307873,74838.045402825,74838.046381646,74838.046386465,74838.04648529,74838.04916977,74838.050952322,74851.577448038,74851.577488894,74851.577491758,74851.5777897,74851.57782916
5,74851.578895283,74851.580396376,74851.581841666,74851.581846415,74851.581944123,74851.584461961,74851.58624186,74865.145623196,74865.145662936,74865.145665799,74865.145979176,74865.146020732
6,74865.147122404,74865.149079349,74865.150023809,74865.150028139,74865.150136812,74865.152778479,74865.154731792,74878.667761461,74878.667801061,74878.667803924,74878.668124914,74878.668166399
7,74878.669240973,74878.671260496,74878.672208448,74878.672213197,74878.672311743,74878.675024648,74878.676819352,74892.278172487,74892.278212226,74892.27821502,74892.278512054,74892.278554587
8,74892.279662056,74892.281580728,74892.282550471,74892.28255529,74892.282652648,74892.285308982,74892.287090696,74905.722933259,74905.722988643,74905.722991506,74905.723296223,74905.723337359
9,74905.72441759,74905.725918264,74905.727453439,74905.727458189,74905.727555547,74905.730085957,74905.731858522,74919.079694069,74919.079736532,74919.079739465,74919.080069464,74919.080113813
10,74919.081219955,74919.082704077,74919.084212852,74919.084217671,74919.084316007,74919.08691996,74919.088737712,74932.629217904,74932.629257644,74932.629260507,74932.62956243,74932.629605801
11,74932.630772286,74932.632592622,74932.633572631,74932.63357752,74932.633718669,74932.636356564,74932.638215313,74945.995872323,74945.995912202,74945.995915065,74945.996247788,74945.996289763
12,74945.997429149,74945.999272044,74946.000246047,74946.000250936,74946.000351088,74946.003021878,74946.004942087,74959.543259303,74959.543302115,74959.543304979,74959.543611022,74959.543652438
13,74959.544745799,74959.546730611,74959.547711807,74959.547716137,74959.547815451,74959.550433582,74959.552275988,74972.885551149,74972.885590958,74972.885593403,74972.885896373,74972.885939185
14,74972.886994693,74972.888502281,74972.890019088,74972.890023279,74972.890142777,74972.892657752,74972.894485491,74986.22268782,74986.222726512,74986.222728956,74986.223059723,74986.223101488
15,74986.224168519,74986.225659485,74986.227104566,74986.227109385,74986.227231956,74986.229752867,74986.231551343,74999.662128871,74999.662171893,74999.662174268,74999.662479333,74999.662520889
16,74999.663906465,74999.665756623,74999.666731464,74999.666735724,74999.666833502,74999.669407353,74999.671265054,75013.337714487,75013.337754995,75013.337757859,75013.338081781,75013.338125013
17,75013.339262793,75013.340766749,75013.342291868,75013.342296617,75013.34239642,75013.345005541,75013.346858283,75026.735579041,75026.735619619,75026.735622412,75026.735928037,75026.735990056
18,75026.737217302,75026.739129898,75026.740122968,75026.740127228,75026.740226332,75026.742930646,75026.744851624,75040.212000632,75040.212040302,75040.212043166,75040.212343133,75040.212387063
19,75040.213854003,75040.215711216,75040.216755898,75040.216760158,75040.216995802,75040.219616795,75040.221519404,75053.751129191,75053.751168791,75053.751171236,75053.751471901,75053.751515901
20,75053.752770804,75053.754584157,75053.75561061,75053.755613962,75053.755783676,75053.758374219,75053.760297711,75067.239073503,75067.239112404,75067.239114849,75067.239425781,75067.239467825
21,75067.240641643,75067.242403942,75067.243366979,75067.24337124,75067.243535296,75067.246143649,75067.247984868,75080.721745935,75080.721785325,75080.721788189,75080.72212133,75080.722163445
22,75080.723335586,75080.725333319,75080.726398325,75080.726402096,75080.726614064,75080.729098728,75080.730977591,75094.117970133,75094.118014901,75094.118017275,75094.118330163,75094.118375141
23,75094.119476464,75094.120916935,75094.122452599,75094.122457348,75094.122572865,75094.125217256,75094.127071605,75107.479365523,75107.479405961,75107.479408335,75107.47971375,75107.479755585
