,cupy_profile_2_cg0::Probabilities::Post,cupy_profile_2_cg0::Probabilities::3rdStair,cupy_profile_2_cg0::Probabilities::2ndStair,cupy_profile_2_cg0::Probabilities::1stStair,cupy_profile_2_cg0::Probabilities::Pre,cupy_profile_2_cg0::FrameCount,cupy_profile_2_cg0::SpaceStep,cupy_profile_2_cg0::TimeStep,cupy_profile_2_cg0::PointCount,cupy_profile_2_cg0::RegionLength::Post,cupy_profile_2_cg0::RegionLength::3rdStair,cupy_profile_2_cg0::RegionLength::2ndStair,cupy_profile_2_cg0::RegionLength::1stStair,cupy_profile_2_cg0::RegionLength::Pre,cupy_profile_2_cg1::Probabilities::Post,cupy_profile_2_cg1::Probabilities::3rdStair,cupy_profile_2_cg1::Probabilities::2ndStair,cupy_profile_2_cg1::Probabilities::1stStair,cupy_profile_2_cg1::Probabilities::Pre,cupy_profile_2_cg1::FrameCount,cupy_profile_2_cg1::SpaceStep,cupy_profile_2_cg1::TimeStep,cupy_profile_2_cg1::PointCount,cupy_profile_2_cg1::RegionLength::Post,cupy_profile_2_cg1::RegionLength::3rdStair,cupy_profile_2_cg1::RegionLength::2ndStair,cupy_profile_2_cg1::RegionLength::1stStair,cupy_profile_2_cg1::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
0,4.1578525509048895e-49,4.0101802561177615e-29,1.5146302167071738e-14,3.3405096886773957e-05,0.9999665949030984,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,4.1578525509048895e-49,4.0101802561177615e-29,1.5146302167071738e-14,3.3405096886773957e-05,0.9999665949030984,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
1,5.2388419100611566e-49,4.724626849233007e-29,1.685764296312437e-14,3.535152322557432e-05,0.9999646484767574,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,5.241162083379826e-49,4.725598159194223e-29,1.6861639069896887e-14,3.5351523225591184e-05,0.9999646484767574,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
2,6.605889465345834e-49,5.568060249148321e-29,1.8733717723902535e-14,3.7406875308366716e-05,0.9999625931246726,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,6.611725359518393e-49,5.570342692417626e-29,1.8771768943688154e-14,3.740687530841393e-05,0.9999625931246726,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
3,8.335929968222044e-49,6.564078701734599e-29,2.0760613917525963e-14,3.95772810136616e-05,0.9999604227189657,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,8.346946436802796e-49,6.56810225652514e-29,2.0898987953309785e-14,3.957728101372125e-05,0.9999604227189656,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
4,1.0526805399691415e-48,7.740585020759094e-29,2.294167629289875e-14,4.186885344368734e-05,0.9999581311465335,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.0545302568722845e-48,7.746891265728338e-29,2.3267965749058195e-14,4.1868853443724104e-05,0.9999581311465332,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
5,1.3303072063403616e-48,9.130627322648243e-29,2.5307763932887797e-14,4.428800258308226e-05,0.9999557119973916,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.3332206956798069e-48,9.139895695603256e-29,2.5906163100131115e-14,4.428800258306886e-05,0.999955711997391,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
6,1.6823379580965806e-48,1.0773356403302887e-28,2.790686036561421e-14,4.68414596578312e-05,0.9999531585403142,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.6867461510337005e-48,1.0786436317773446e-28,2.884415226570371e-14,4.684145965776362e-05,0.9999531585403134,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
7,2.1289908320636506e-48,1.2715161910086472e-28,3.078278585237149e-14,4.9536298146926806e-05,0.9999504637018226,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.135479192114973e-48,1.2733111995324174e-28,3.211597191752444e-14,4.953629814681705e-05,0.9999504637018214,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
8,2.696043520245854e-48,1.5011015764753408e-28,3.396336373155174e-14,5.2379934803186174e-05,0.9999476200651629,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.705404255891664e-48,1.5035151753212368e-28,3.575950857064469e-14,5.2379934803042626e-05,0.9999476200651614,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
9,3.4163780603807e-48,1.7726070074303819e-28,3.7467452854746576e-14,5.538014762812251e-05,0.9999446198523343,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.42967939011368e-48,1.7758023188955763e-28,3.9816930445448137e-14,5.53801476279369e-05,0.9999446198523322,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
