,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Fine Grain: sparse.csr_matrix,Fine Grain: Solve for nextWaveFunction,Fine Grain: Reshape nextWaveFunction,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,76888.888298822,76888.888675475,76888.889009804,76888.889012737,76888.889045213,76888.890546516,76888.890548402,76888.898126921,76888.898133137,76888.898134603,76888.898192222,76888.898197111
1,76888.898655408,76888.899062302,76888.899389297,76888.899391183,76888.899422053,76888.900685896,76888.900687293,76888.90830618,76888.908312466,76888.908313932,76888.90837658,76888.908383284
2,76888.908881321,76888.909506328,76888.909847432,76888.909849806,76888.909881305,76888.911224976,76888.911226862,76888.918821305,76888.918827939,76888.918828917,76888.918888492,76888.918894707
3,76888.919388623,76888.919973542,76888.920301864,76888.92030375,76888.920333852,76888.921623676,76888.921625142,76888.929215464,76888.929222937,76888.929224823,76888.929289217,76888.929295851
4,76888.929770631,76888.930327124,76888.930655796,76888.93065817,76888.930690088,76888.93192795,76888.931929906,76888.939692875,76888.939714316,76888.939716691,76888.939796729,76888.939803922
5,76888.940395825,76888.94097334,76888.94135579,76888.941358164,76888.941408101,76888.942786064,76888.942787461,76888.950435891,76888.950442945,76888.95044483,76888.950508316,76888.950513065
6,76888.950908714,76888.951437411,76888.951788991,76888.951791365,76888.951825727,76888.9530983,76888.953099767,76888.960648324,76888.96065447,76888.960655867,76888.960708458,76888.960713137
7,76888.961008634,76888.961473007,76888.961800631,76888.961802517,76888.961833527,76888.963068316,76888.963069713,76888.970690765,76888.970696352,76888.97069733,76888.970748873,76888.970753622
8,76888.971027888,76888.971569575,76888.971883929,76888.971884907,76888.971914938,76888.973154197,76888.973156153,76888.980864367,76888.980870094,76888.980871491,76888.980971503,76888.980976741
9,76888.98146053,76888.982085258,76888.982467777,76888.982470082,76888.982502488,76888.98388541,76888.983886877,76888.991649776,76888.991656411,76888.991657808,76888.991740919,76888.991746995
10,76888.992251387,76888.992766814,76888.993105752,76888.993108197,76888.993140882,76888.994458782,76888.994460738,76889.002049104,76889.00205525,76889.002056717,76889.002113987,76889.002118666
11,76889.002581852,76889.002927216,76889.003260497,76889.003262872,76889.003293392,76889.00452874,76889.004530626,76889.012114174,76889.01211997,76889.012120878,76889.012187995,76889.012192675
12,76889.012576172,76889.013110875,76889.013441572,76889.013443877,76889.013474467,76889.014710723,76889.014712609,76889.022381851,76889.022389115,76889.02239107,76889.022453019,76889.022458816
13,76889.022910059,76889.023525289,76889.023856265,76889.023858221,76889.02388923,76889.025210552,76889.02521153,76889.033024506,76889.033031629,76889.033033026,76889.033098328,76889.033104055
14,76889.033577367,76889.034136305,76889.034474894,76889.03447678,76889.034508278,76889.035796705,76889.035797683,76889.043381161,76889.043387447,76889.043388844,76889.043446602,76889.043451351
15,76889.043859642,76889.044210803,76889.044523411,76889.044525366,76889.044556376,76889.045789489,76889.045791305,76889.053336021,76889.053341818,76889.053343215,76889.053412846,76889.053416548
16,76889.053901524,76889.054320849,76889.054635762,76889.054638137,76889.054669146,76889.055919231,76889.055921186,76889.063672772,76889.063681292,76889.063683178,76889.063759933,76889.063767197
17,76889.064341569,76889.064971465,76889.065305515,76889.06530789,76889.065339877,76889.066634939,76889.066635917,76889.074451127,76889.074457832,76889.074459298,76889.07453745,76889.074543596
18,76889.075055741,76889.07563591,76889.07599615,76889.075998944,76889.076033725,76889.077407777,76889.077409243,76889.08502408,76889.085030226,76889.085031623,76889.085096016,76889.085101673
19,76889.085540973,76889.08609614,76889.086417199,76889.086419154,76889.086451561,76889.087697175,76889.087699131,76889.095042146,76889.095048222,76889.095049619,76889.095108844,76889.095113524
20,76889.095449948,76889.095932689,76889.096256332,76889.096258707,76889.096289646,76889.09743455,76889.097436506,76889.104162056,76889.104170158,76889.104171136,76889.104246843,76889.10425257
21,76889.104876949,76889.105314643,76889.105628299,76889.105630673,76889.105662591,76889.106839272,76889.106840739,76889.113624677,76889.11363222,76889.113633617,76889.11369801,76889.113705134
22,76889.114188224,76889.114854787,76889.115216074,76889.115218449,76889.115253858,76889.116485365,76889.116487251,76889.123331392,76889.123338446,76889.123339842,76889.123404236,76889.123409544
23,76889.123797441,76889.124352118,76889.124692384,76889.124694339,76889.124728282,76889.12590224,76889.125904125,76889.132603975,76889.132610121,76889.132611587,76889.132665993,76889.132670743
24,76889.132940678,76889.133444232,76889.133758656,76889.133760542,76889.133791551,76889.134967884,76889.134969281,76889.141697974,76889.141705168,76889.141707053,76889.141768723,76889.141781574
25,76889.142225693,76889.142810192,76889.143160166,76889.14316254,76889.14320682,76889.144414161,76889.144416047,76889.151156264,76889.151162969,76889.151165344,76889.151231134,76889.15123721
26,76889.151678675,76889.15233099,76889.152713091,76889.152714557,76889.152746475,76889.153994254,76889.153996629,76889.160770998,76889.160777564,76889.16077896,76889.160837208,76889.160842865
27,76889.161219727,76889.161760017,76889.162126473,76889.162128848,76889.162160765,76889.163301618,76889.163303085,76889.169928693,76889.169934839,76889.169936306,76889.170001467,76889.170006286
28,76889.170416044,76889.170758474,76889.171078067,76889.171079464,76889.171110473,76889.172243224,76889.172244691,76889.178901309,76889.178907036,76889.178908921,76889.178982394,76889.178988051
29,76889.179342983,76889.179887534,76889.180228568,76889.180230453,76889.180261952,76889.181421592,76889.181422989,76889.188255466,76889.18826259,76889.188264476,76889.188327891,76889.188333548
30,76889.188795547,76889.189360002,76889.189715493,76889.189716959,76889.189749435,76889.190918923,76889.19092032,76889.197622544,76889.197630995,76889.19763288,76889.197718156,76889.197725769
31,76889.198330033,76889.198922635,76889.199275541,76889.199277427,76889.199308157,76889.200496781,76889.200498248,76889.207200332,76889.207207316,76889.207208783,76889.207271919,76889.207277646
32,76889.207708007,76889.208305985,76889.208629489,76889.208631933,76889.208663362,76889.209814272,76889.20981525,76889.216585499,76889.2165936,76889.216603239,76889.216676572,76889.216682299
33,76889.217247941,76889.217648689,76889.217969748,76889.217971703,76889.218008929,76889.21917276,76889.219174645,76889.225809682,76889.225815479,76889.225816945,76889.225872609,76889.225877498
34,76889.226321337,76889.226661393,76889.226973513,76889.226975399,76889.227007805,76889.228144188,76889.228146144,76889.234794101,76889.234799828,76889.234801295,76889.234852698,76889.234857028
35,76889.235149941,76889.235646441,76889.23594976,76889.235951716,76889.236000116,76889.237130353,76889.237132239,76889.243842704,76889.24384892,76889.243850316,76889.243908913,76889.243914081
36,76889.244303305,76889.244830046,76889.245164166,76889.24516654,76889.245213404,76889.246364873,76889.246366758,76889.253098106,76889.253104811,76889.253106766,76889.253170182,76889.253176467
37,76889.253753494,76889.254192096,76889.254502679,76889.254505542,76889.254536971,76889.255744662,76889.255746058,76889.262500593,76889.262507158,76889.262509044,76889.262571552,76889.262577279
38,76889.263014134,76889.263550304,76889.263866684,76889.263868988,76889.263900487,76889.265034006,76889.265035962,76889.271665272,76889.271671069,76889.271672465,76889.271725335,76889.271730154
39,76889.272012521,76889.272508113,76889.272824912,76889.272826728,76889.272857318,76889.273994609,76889.273996076,76889.280647107,76889.280652345,76889.280653741,76889.280704376,76889.280709125
40,76889.280963207,76889.28151984,76889.281827559,76889.281828537,76889.281857591,76889.283035181,76889.283037555,76889.289693125,76889.289700738,76889.289702624,76889.289765481,76889.289771207
41,76889.290221123,76889.290786207,76889.291119698,76889.291121653,76889.291153361,76889.292316983,76889.292318449,76889.299049587,76889.29905727,76889.299059155,76889.299124038,76889.299130812
42,76889.299590925,76889.300147837,76889.300536922,76889.300539296,76889.300575544,76889.301806073,76889.301807539,76889.308506411,76889.308512487,76889.308513954,76889.308582957,76889.308587706
43,76889.308978676,76889.309454503,76889.309784292,76889.309786178,76889.309818584,76889.31096258,76889.310964047,76889.317662778,76889.317668505,76889.317669902,76889.317724378,76889.317729057
44,76889.318176389,76889.318538864,76889.318842393,76889.318844768,76889.318875288,76889.320041633,76889.320043519,76889.326738829,76889.326746022,76889.326747419,76889.326809228,76889.326814886
45,76889.327169608,76889.327729384,76889.32804758,76889.328049535,76889.328081033,76889.329254921,76889.329256737,76889.335920688,76889.335928022,76889.335929418,76889.336011342,76889.336017139
46,76889.336547511,76889.336976265,76889.337289153,76889.33729062,76889.337323026,76889.338483085,76889.338485041,76889.345206541,76889.345214084,76889.345215481,76889.345279874,76889.345285461
47,76889.345713307,76889.346305769,76889.346615514,76889.346617958,76889.346648688,76889.347835916,76889.347837313,76889.354471302,76889.354477099,76889.354478495,76889.354534438,76889.354539187
48,76889.354858989,76889.355410524,76889.3557239,76889.355725786,76889.355757284,76889.356919579,76889.356920976,76889.363574241,76889.363579479,76889.363580946,76889.363633745,76889.363637168
49,76889.363987839,76889.364503825,76889.364826979,76889.364828865,76889.364859246,76889.366055832,76889.366057229,76889.372794862,76889.37281763,76889.372818608,76889.372890265,76889.372896341
50,76889.37346792,76889.373925658,76889.37442139,76889.374423764,76889.374460012,76889.375637881,76889.375639836,76889.382582662,76889.382590275,76889.382591672,76889.382654599,76889.382660814
51,76889.383426691,76889.383914251,76889.384259685,76889.384262548,76889.384295444,76889.385533026,76889.385534912,76889.39227045,76889.392277644,76889.39227953,76889.392349021,76889.392355656
52,76889.392808156,76889.393411652,76889.393723213,76889.393726496,76889.393759321,76889.395028402,76889.39502938,76889.401737401,76889.401745083,76889.40174655,76889.401809477,76889.401815762
53,76889.402338453,76889.402941809,76889.403273344,76889.403276138,76889.403307636,76889.404528038,76889.404529994,76889.411186542,76889.411192827,76889.411194713,76889.411254357,76889.411259107
54,76889.411738076,76889.412093916,76889.412407223,76889.412409598,76889.412440607,76889.413589632,76889.413591029,76889.420285081,76889.420291297,76889.420292694,76889.4203471,76889.420351849
55,76889.420638546,76889.421138957,76889.421450658,76889.421452055,76889.421499896,76889.422648711,76889.422650107,76889.429277392,76889.429283119,76889.429284516,76889.429333684,76889.429337944
56,76889.429610743,76889.430048646,76889.430369636,76889.430371521,76889.430402531,76889.431546806,76889.431548203,76889.438221652,76889.438227938,76889.438229824,76889.438287442,76889.43829282
57,76889.438643422,76889.439225966,76889.439538435,76889.439540809,76889.439571539,76889.44075297,76889.440754926,76889.447538864,76889.447546127,76889.447547943,76889.447610032,76889.447615619
58,76889.448061065,76889.448647799,76889.448962852,76889.448965716,76889.449006782,76889.450185349,76889.450186816,76889.456909154,76889.456915999,76889.456917395,76889.456989052,76889.45699429
