,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Fine Grain: sparse.csr_matrix,Fine Grain: Solve for nextWaveFunction,Fine Grain: Reshape nextWaveFunction,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,51534.054813747,51534.056609709,51534.058380947,51534.058384299,51534.058511689,51534.059531438,51534.059533323,51536.019740322,51536.019753103,51536.019755059,51536.020195546,51536.020204695
1,51536.020968896,51536.023350195,51536.025392136,51536.025395908,51536.025554866,51536.026478234,51536.026480609,51538.09503141,51538.095045239,51538.095046705,51538.095459326,51538.095469313
2,51538.096026924,51538.098657346,51538.100133715,51538.100137487,51538.100291346,51538.101303552,51538.101305508,51540.113795348,51540.113808478,51540.113810434,51540.114217048,51540.114227524
3,51540.115206346,51540.117543995,51540.119730787,51540.119735047,51540.119904062,51540.1208627,51540.120865144,51542.769441217,51542.769455395,51542.76945735,51542.769900282,51542.769910409
4,51542.770528153,51542.773575246,51542.775197583,51542.775201843,51542.775360103,51542.776388931,51542.776390817,51544.949201956,51544.949216064,51544.94921795,51544.949649009,51544.949657948
5,51544.950242727,51544.952580934,51544.955021738,51544.955026068,51544.955203674,51544.956239765,51544.956241651,51547.129947594,51547.129970083,51547.12997106,51547.130330881,51547.130339611
6,51547.130912028,51547.133571015,51547.134990953,51547.134994794,51547.135151937,51547.136133412,51547.136135787,51548.932998488,51548.933012666,51548.933014552,51548.933425776,51548.933435903
7,51548.934029621,51548.936398279,51548.93875667,51548.938760372,51548.938944403,51548.940024634,51548.940026589,51550.826702736,51550.826715727,51550.826717613,51550.827168297,51550.827177725
8,51550.828024128,51550.830595744,51550.832081472,51550.832084894,51550.832258519,51550.833331696,51550.83333414,51553.360249825,51553.360269799,51553.360272244,51553.360740179,51553.360751144
9,51553.361321954,51553.364102953,51553.366336679,51553.366339961,51553.366513726,51553.367653601,51553.367655486,51555.781347018,51555.781361685,51555.781363081,51555.781759918,51555.781774655
10,51555.782361179,51555.78500096,51555.786432561,51555.786436472,51555.786593405,51555.787673496,51555.787675382,51557.998017196,51557.998030884,51557.998032351,51557.998403556,51557.998413404
11,51557.998971503,51558.001223247,51558.003405709,51558.003408573,51558.003577588,51558.004645527,51558.004647412,51560.183400835,51560.183413895,51560.183415292,51560.183821208,51560.183829868
12,51560.184643446,51560.187343639,51560.188719507,51560.188724396,51560.188864148,51560.1899353,51560.189937255,51562.044987088,51562.045000357,51562.045002313,51562.045367721,51562.045376312
13,51562.04621615,51562.048629715,51562.050903459,51562.050906812,51562.051066189,51562.052257956,51562.052261797,51563.853731561,51563.853744971,51563.853746856,51563.854179591,51563.854189578
14,51563.855023061,51563.857616048,51563.859099751,51563.859103592,51563.85927568,51563.860434133,51563.860436438,51565.722088062,51565.722101331,51565.722103217,51565.722452422,51565.722461641
15,51565.723048725,51565.725365211,51565.727602219,51565.72760599,51565.727739177,51565.728862011,51565.728863897,51567.533652785,51567.533665217,51567.533666613,51567.534080561,51567.534090059
16,51567.534664013,51567.53730093,51567.53875523,51567.538759001,51567.538940937,51567.540043098,51567.540044983,51569.347750083,51569.347763981,51569.347765867,51569.348162704,51569.348180443
17,51569.34875314,51569.351228235,51569.353615191,51569.353619591,51569.353770169,51569.354857942,51569.354860317,51571.141429501,51571.141442282,51571.141444656,51571.141782408,51571.141792465
18,51571.142315434,51571.14487371,51571.146343515,51571.146346937,51571.146476003,51571.147599256,51571.147601142,51572.953123081,51572.953137678,51572.953139563,51572.953535422,51572.953546457
19,51572.954408994,51572.956726807,51572.959032469,51572.959038196,51572.959244087,51572.960271658,51572.960273962,51574.890189867,51574.890203207,51574.890205162,51574.89061052,51574.890620227
20,51574.891675735,51574.894370969,51574.895789929,51574.895794608,51574.895949306,51574.896980229,51574.896981626,51576.699320352,51576.699333482,51576.699335437,51576.699735207,51576.699745614
21,51576.700355465,51576.702734041,51576.705079581,51576.705083423,51576.705275206,51576.706373456,51576.706375411,51578.518784513,51578.518797852,51578.518799249,51578.519193082,51578.519202092
22,51578.519760122,51578.522503686,51578.523983617,51578.523987877,51578.524114779,51578.525192146,51578.525194102,51580.329660953,51580.329674921,51580.329676807,51580.330075389,51580.330084888
23,51580.330655489,51580.333073315,51580.335415293,51580.335419065,51580.335566499,51580.336636673,51580.336639047,51582.131167453,51582.131179885,51582.131182259,51582.131582029,51582.131592575
24,51582.132178192,51582.134768944,51582.136214793,51582.136219123,51582.136372145,51582.137445322,51582.137447207,51584.324820547,51584.324835354,51584.324837239,51584.325255238,51584.325265155
25,51584.32584309,51584.328194217,51584.330506095,51584.330516501,51584.330702557,51584.331786071,51584.331788445,51586.186947719,51586.186970207,51586.186972093,51586.187385901,51586.187395749
26,51586.18797508,51586.190708517,51586.192133064,51586.192136976,51586.192276867,51586.193370996,51586.193372882,51588.416905917,51588.416920025,51588.416921911,51588.417312042,51588.4173221
27,51588.417898218,51588.420264431,51588.422551026,51588.422554379,51588.422739318,51588.423809561,51588.423811447,51590.24956493,51590.249595311,51590.249597197,51590.249982161,51590.24999138
28,51590.250560374,51590.253264129,51590.254678969,51590.254683718,51590.254812994,51590.255936037,51590.255937504,51592.041872881,51592.041886709,51592.041888106,51592.04227293,51592.042282358
29,51592.042830261,51592.045254792,51592.047572326,51592.047577075,51592.047718434,51592.048797268,51592.048800201,51593.859040599,51593.85905338,51593.859055266,51593.859490794,51593.8595012
30,51593.860107979,51593.86280049,51593.86421917,51593.864222942,51593.864391119,51593.865437128,51593.865439502,51595.681885274,51595.681898963,51595.681900919,51595.682311863,51595.682322479
31,51595.682902299,51595.685247001,51595.687552314,51595.687556993,51595.687738929,51595.688792969,51595.688795414,51597.479740835,51597.479755153,51597.47975662,51597.480189005,51597.480199481
32,51597.480763238,51597.483369914,51597.484886721,51597.484890562,51597.485078574,51597.48616125,51597.486164113,51599.288717949,51599.288732686,51599.288741905,51599.289130849,51599.289141256
33,51599.289865088,51599.29225393,51599.294573978,51599.294578309,51599.294747114,51599.295814145,51599.295816101,51601.09602265,51601.096036618,51601.096038993,51601.096460553,51601.096471099
34,51601.097257928,51601.09988423,51601.101315202,51601.101318485,51601.101491551,51601.102534696,51601.102536093,51602.929426099,51602.929439858,51602.929441744,51602.929845494,51602.929855482
35,51602.930676253,51602.933071102,51602.935465251,51602.935469512,51602.93565473,51602.936718758,51602.936720713,51604.80151637,51604.801530687,51604.801532154,51604.801941422,51604.80195127
36,51604.802558049,51604.805181068,51604.806690821,51604.806695081,51604.806881696,51604.807910943,51604.807912829,51606.61218196,51606.612194881,51606.612196836,51606.612606803,51606.612617489
37,51606.613232788,51606.61550723,51606.617842574,51606.617846834,51606.618035615,51606.619083649,51606.619085535,51608.421224375,51608.421238134,51608.42124002,51608.421616323,51608.421626869
38,51608.422427666,51608.425024914,51608.426464267,51608.426468527,51608.426652139,51608.427724339,51608.427725247,51610.22118271,51610.221196468,51610.221198354,51610.22157801,51610.221587159
39,51610.222437264,51610.224783712,51610.227077291,51610.227081132,51610.227263976,51610.228345185,51610.22834714,51612.02034772,51612.020361898,51612.020363784,51612.020749725,51612.024565978
40,51612.025151245,51612.02768382,51612.029167662,51612.029171573,51612.029336189,51612.030383455,51612.030385899,51613.856020932,51613.856033224,51613.856035599,51613.856440537,51613.856450943
41,51613.857038795,51613.85925052,51613.861399807,51613.861403998,51613.861584327,51613.862572578,51613.862574044,51615.689714151,51615.689729377,51615.689731262,51615.69014975,51615.690159318
42,51615.691006699,51615.693634397,51615.695000767,51615.695005027,51615.695175928,51615.696249524,51615.696250921,51617.487803261,51617.487816182,51617.487818067,51617.488226009,51617.488235437
43,51617.488811137,51617.491193763,51617.493493627,51617.493497399,51617.493644484,51617.494658156,51617.494660042,51619.303385309,51619.303399906,51619.303401373,51619.303809454,51619.307378958
44,51619.30820392,51619.310798583,51619.312198267,51619.31220155,51619.312379016,51619.313461202,51619.313462669,51621.122593852,51621.122606703,51621.122608658,51621.122995368,51621.126116842
45,51621.127064794,51621.12935083,51621.131655863,51621.131660123,51621.131829278,51621.13289568,51621.132897566,51623.033598487,51623.033612944,51623.03361483,51623.034012993,51623.034022631
46,51623.034592045,51623.037205845,51623.038540087,51623.038543929,51623.038703515,51623.03972075,51623.039722705,51624.897012688,51624.897026098,51624.897028053,51624.89741162,51624.90096988
