,numpy_profile_10::Probabilities::Post,numpy_profile_10::Probabilities::3rdStair,numpy_profile_10::Probabilities::2ndStair,numpy_profile_10::Probabilities::1stStair,numpy_profile_10::Probabilities::Pre,numpy_profile_10::FrameCount,numpy_profile_10::SpaceStep,numpy_profile_10::TimeStep,numpy_profile_10::PointCount,numpy_profile_10::RegionLength::Post,numpy_profile_10::RegionLength::3rdStair,numpy_profile_10::RegionLength::2ndStair,numpy_profile_10::RegionLength::1stStair,numpy_profile_10::RegionLength::Pre,numpy_profile_11::Probabilities::Post,numpy_profile_11::Probabilities::3rdStair,numpy_profile_11::Probabilities::2ndStair,numpy_profile_11::Probabilities::1stStair,numpy_profile_11::Probabilities::Pre,numpy_profile_11::FrameCount,numpy_profile_11::SpaceStep,numpy_profile_11::TimeStep,numpy_profile_11::PointCount,numpy_profile_11::RegionLength::Post,numpy_profile_11::RegionLength::3rdStair,numpy_profile_11::RegionLength::2ndStair,numpy_profile_11::RegionLength::1stStair,numpy_profile_11::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
0,4.1578525509048956e-49,4.0101802561177795e-29,1.5146302167071735e-14,3.340509688677395e-05,0.9999665949030979,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,4.1578525509048956e-49,4.0101802561177795e-29,1.5146302167071735e-14,3.340509688677395e-05,0.9999665949030979,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
1,5.224764874610757e-49,4.7373123593963503e-29,1.6861902720148617e-14,3.535090846299715e-05,0.9999646490915199,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,5.224764852763208e-49,4.7233658890347e-29,1.6861794764509033e-14,3.535187848424582e-05,0.9999646481214989,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
2,6.571187183404516e-49,5.620108980907592e-29,1.8772418262460118e-14,3.740556745522643e-05,0.9999625944325263,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,6.571187074825124e-49,5.565247155287643e-29,1.8772202472932557e-14,3.740762815697055e-05,0.9999625923718243,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
3,8.271752586453553e-49,6.679724953150148e-29,2.0900174858633776e-14,3.957519523303377e-05,0.9999604248047463,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,8.271752273393038e-49,6.559384146684402e-29,2.0899855526318945e-14,3.9578477852607296e-05,0.9999604215221267,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
4,1.0421280537862924e-48,7.94094131617029e-29,2.3269878556881804e-14,4.1865899469468444e-05,0.9999581341005069,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.0421279790374088e-48,7.733641853687777e-29,2.326946532849968e-14,4.187054646895683e-05,0.999958129453508,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
5,1.3140372141702785e-48,9.437199794252002e-29,2.590903277231649e-14,4.428408339301497e-05,0.9999557159165814,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.314037052408121e-48,9.121032603587326e-29,2.5908542098970127e-14,4.429024917955196e-05,0.999955709750795,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
6,1.6582516329842486e-48,1.1212906128899557e-28,2.884825578291676e-14,4.68364639105147e-05,0.9999531635360609,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.658251321925103e-48,1.0760674952897208e-28,2.884771295850123e-14,4.684431608485813e-05,0.9999531556838862,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
7,2.0943183866619834e-48,1.3322431699784677e-28,3.212164229328991e-14,4.9530102717600405e-05,0.9999504698972504,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.0943178491945048e-48,1.269893560223915e-28,3.212108382767309e-14,4.953982323936335e-05,0.9999504601767283,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
8,2.647145503590421e-48,1.5828017040436558e-28,3.576714847206194e-14,5.237240994052324e-05,0.9999476275900233,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.6471446117263996e-48,1.4990779162741257e-28,3.576662429133405e-14,5.2384195399433516e-05,0.9999476158045648,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
9,3.348490175472511e-48,1.879969138994751e-28,3.9827019223462944e-14,5.537114936862618e-05,0.9999446288505918,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.348488748295899e-48,1.7701370569765854e-28,3.982659605819227e-14,5.538521243033717e-05,0.9999446147875299,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
10,4.2388657981085674e-48,2.2318465807808097e-28,4.434827794852138e-14,5.853446589295865e-05,0.9999414655340625,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,4.238863578297297e-48,2.090798386929717e-28,4.4348043027631614e-14,5.855103633704977e-05,0.9999414489636187,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
11,5.369984266168948e-48,2.648153192639893e-28,4.9383255870914324e-14,6.187089265547673e-05,0.999938129107295,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,5.369980847543999e-48,2.4702262811712415e-28,4.9383320942983635e-14,6.189021803547939e-05,0.9999381097819154,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
12,6.807886956689495e-48,3.1407106781695433e-28,5.499018646129897e-14,6.538936810289413e-05,0.999934610631842,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,6.807881763966269e-48,2.9192908905082422e-28,5.4990693366968964e-14,6.541171549002614e-05,0.9999345882844551,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
13,8.636960836664073e-48,3.723747445031554e-28,6.123387341939506e-14,6.909926233485661e-05,0.9999309007376037,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,8.636953082346156e-48,3.4508878160640795e-28,6.123500038289472e-14,6.912491977384522e-05,0.9999308750801648,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
14,1.0965090081813078e-47,4.41409156377348e-28,6.818642452198695e-14,7.301039371119083e-05,0.9999269896062205,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.0965078660262468e-47,4.080317483250117e-28,6.818839318654328e-14,7.303967134467553e-05,0.9999269603285874,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
15,1.3930267376214588e-47,5.2314705680860325e-28,7.592806444010269e-14,7.71330441680467e-05,0.9999228669557564,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.3930250715582928e-47,4.8257357140767755e-28,7.593114819238954e-14,7.71662755277748e-05,0.9999228337243965,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
16,1.7709082694174127e-47,6.199095130502158e-28,8.454804067183132e-14,8.147797913334251e-05,0.9999185220207822,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.770905862183165e-47,5.708689236410547e-28,8.455257478528898e-14,8.151552290336839e-05,0.9999184844770119,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
17,2.2527626799264867e-47,7.344527299731427e-28,9.414563127827613e-14,8.6056469818062e-05,0.9999139435300878,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.2527592267746205e-47,6.754752026873119e-28,9.415202429030258e-14,8.609871121623837e-05,0.9999139012886897,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
18,2.8675499067466593e-47,8.700691985698036e-28,1.0483125591920229e-13,9.088030916702343e-05,0.9999091196907282,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.8675449698076605e-47,7.994280874750707e-28,1.0484000271129439e-13,9.092766126061929e-05,0.9999090723386349,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
19,3.65238132451036e-47,1.0306893912213496e-27,1.1672771609254697e-13,9.596183534537082e-05,0.9999040381645382,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.652374306933701e-47,9.46331373185617e-28,1.1673941451031706e-13,9.601474162803442e-05,0.9999039852582554,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
20,4.654835106282349e-47,1.220982806024453e-27,1.299715785027427e-13,0.00010131396109125756,0.9998986860387785,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,4.6548251971876575e-47,1.1204637654597447e-27,1.299869477336114e-13,0.00010137289732360083,0.9998986271025462,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
21,5.935933779043768e-47,1.446486863472808e-27,1.4471469541147923e-13,0.00010695019159824783,0.9998930498082571,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,5.935919845582269e-47,1.3269056695815552e-27,1.4473459650561542e-13,0.00010701566713468498,0.9998929843327204,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
22,7.573975130010155e-47,1.7137403610030755e-27,1.6112589538410426e-13,0.0001128846470204419,0.9998871153528184,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,7.573955624538239e-47,1.571689900192156e-27,1.6115135658416653e-13,0.0001129572073743365,0.9998870427924647,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
23,9.669462787711306e-47,2.030532662656088e-27,1.793928662696508e-13,0.00011913209106580018,0.9998808679087545,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,9.669435595812113e-47,1.861980827433405e-27,1.7942511158907137e-13,0.00011921232001560398,0.9998807876798047,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
24,1.2351453084836605e-46,2.4060797011024108e-27,1.997242329020416e-13,0.00012570795290381878,0.9998742920468963,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.235141526710908e-46,2.2062871602021728e-27,1.9976471438994298e-13,0.00012579647420911502,0.9998742035255911,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
25,1.5785727830632024e-46,2.8513818000840177e-27,2.223518628629651e-13,0.00013262835171496163,0.9998673716480626,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.5785675339311955e-46,2.614714833572532e-27,2.2240229928756728e-13,0.00013272583184238562,0.9998672741679351,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
26,2.0185321829743357e-46,3.379508328483621e-27,2.4753343334897855e-13,0.0001399101283951831,0.9998600898713574,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.018524919020056e-46,3.0992676392788632e-27,2.475958554956495e-13,0.000140017279689307,0.9998599827200629,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
27,2.5824086267514847e-46,4.005979440929261e-27,2.7555527379900336e-13,0.00014757087571659293,0.9998524291240081,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.5823986051899647e-46,3.67420443404789e-27,2.7563207490650703e-13,0.0001476884586548378,0.9998523115410699,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
28,3.3054166419758584e-46,4.7492142357709195e-27,3.067355038977307e-13,0.00015562896251813336,0.9998443710371754,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.3054028648623425e-46,4.35646347034824e-27,3.068294974264412e-13,0.00015575778797121542,0.9998442422117219,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
29,4.2328529973759724e-46,5.631082078172909e-27,3.4142751940008214e-13,0.00016410356382078888,0.9998358964358377,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,4.2328342367286545e-46,5.166166762170816e-27,3.4154200802289723e-13,0.00016424449671818868,0.9998357555029405,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
30,5.423001106281068e-46,6.67756699395317e-27,3.8002386119003746e-13,0.00017301469497252585,0.9998269853046474,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,5.422976184156427e-46,6.127219453922865e-27,3.801627137745167e-13,0.0001731686569541418,0.9998268313426655,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
31,6.950875735951891e-46,7.919552730780687e-27,4.229604817565852e-13,0.00018238323759862927,0.9998176167619788,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,6.950844505854124e-46,7.268021721328255e-27,4.231282206687839e-13,0.00018255120937748853,0.9998174487901995,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
32,8.913053020587148e-46,9.393741649427417e-27,4.707214815639469e-13,0.00019223097218266512,0.9998077690273462,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,8.913018302293778e-46,8.622314884173873e-27,4.709233875333515e-13,0.0001924139980762824,0.9998075860014527,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
33,1.143390592353452e-45,1.1143735463842608e-26,5.23844371355345e-13,0.00020258061841258538,0.9997974193810637,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.1433872339919817e-45,1.0230186942835356e-26,5.240866017762977e-13,0.00020277981013979815,0.9997972201893359,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
34,1.4673671799304835e-45,1.3221319876323247e-26,5.829258755672491e-13,0.0002134558667426105,0.9997865441326745,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.4673618018464146e-45,1.2139266828384428e-26,5.832155963529322e-13,0.0002136724060031084,0.9997863275934138,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
35,1.8838941178557132e-45,1.5688002045515547e-26,6.486283521387061e-13,0.00022488141004760014,0.9997751185893038,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.88386799621798e-45,1.4406143220242032e-26,6.489738922327364e-13,0.00022511655265715312,0.999774883446694,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
36,2.4196391279803315e-45,1.8616849495619613e-26,7.216869168962602e-13,0.0002368829834491021,0.9997631170158292,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.419508920907762e-45,1.7098050407518834e-26,7.220979457976217e-13,0.00023713806388338994,0.9997628619353944,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
37,3.1090817815141285e-45,2.2094675655656204e-26,8.029173164807029e-13,0.0002494874012380111,0.9997505125979589,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.1085771505389e-45,2.0294870591521943e-26,8.034050422212897e-13,0.00024976383577017124,0.9997502361634268,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
