,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,8598.864923058,8598.865335748,8598.86565995,8598.865662814,8598.865694312,8598.868158373,8612.110903285,8612.111208351,8612.111227068
1,8612.112293959,8612.114271368,8612.115262063,8612.115266323,8612.11536459,8612.11797378,8625.658000881,8625.658289464,8625.658308182
2,8625.659447987,8625.661030724,8625.662484046,8625.662488376,8625.662585455,8625.665150017,8639.223238214,8639.223535527,8639.223553965
3,8639.224677567,8639.226570817,8639.227570312,8639.227574991,8639.227672629,8639.230490016,8652.66967619,8652.66998824,8652.670006329
4,8652.671167296,8652.673073607,8652.674053266,8652.674057946,8652.674282205,8652.676952507,8666.215450578,8666.215735879,8666.215765422
5,8666.216879176,8666.218750636,8666.219731344,8666.219735674,8666.219860969,8666.222547892,8679.592396397,8679.592686935,8679.592705583
6,8679.593820106,8679.59577726,8679.59675692,8679.596761739,8679.596859517,8679.599595399,8693.085350584,8693.085635256,8693.085653415
7,8693.086747055,8693.088605734,8693.089583089,8693.089588258,8693.089685965,8693.092327981,8706.582453398,8706.582744914,8706.582765797
8,8706.583972021,8706.585792078,8706.586803306,8706.586809591,8706.587083787,8706.589676635,8720.174354144,8720.17463714,8720.174657254
9,8720.175807186,8720.177321689,8720.178746585,8720.178751893,8720.178848274,8720.181488753,8733.626040533,8733.626394488,8733.62641544
10,8733.627846203,8733.629297709,8733.63044792,8733.630452739,8733.630573075,8733.633453389,8747.142406546,8747.142740945,8747.142759662
11,8747.143850439,8747.145797816,8747.146871343,8747.146876162,8747.147038402,8747.149588647,8760.764840597,8760.765147478,8760.765166545
12,8760.766268706,8760.768062572,8760.768992505,8760.768995369,8760.769121851,8760.771833987,8774.269521719,8774.269813934,8774.269832581
13,8774.270974063,8774.272734196,8774.27367244,8774.273676701,8774.273773919,8774.276561693,8787.702182159,8787.702471021,8787.702489529
14,8787.703600839,8787.705458541,8787.706533952,8787.706546524,8787.706758212,8787.709308038,8801.19950567,8801.19979544,8801.199814647
15,8801.200886776,8801.202318587,8801.203897692,8801.203902441,8801.204028155,8801.20643774,8814.978321225,8814.978613579,8814.978633065
16,8814.979778667,8814.981616394,8814.982579501,8814.982584181,8814.982682377,8814.985428386,8828.539766959,8828.54007363,8828.540093256
17,8828.541270217,8828.543181486,8828.544204587,8828.544218485,8828.54440063,8828.546833472,8842.157658829,8842.157948809,8842.157986104
18,8842.159132544,8842.160969502,8842.161911448,8842.161915708,8842.162037232,8842.164617927,8855.740124543,8855.740408377,8855.740426396
19,8855.74154008,8855.743437451,8855.74443094,8855.744435829,8855.744534793,8855.747275913,8869.312917695,8869.313217383,8869.313235332
20,8869.314434153,8869.31625414,8869.317197483,8869.317202162,8869.317298194,8869.320064038,8882.87945428,8882.879732457,8882.879749917
21,8882.880874637,8882.8827271,8882.88368909,8882.883693909,8882.88379029,8882.886805396,8896.441469987,8896.441759129,8896.441776589
22,8896.442916743,8896.444692731,8896.445709127,8896.445713876,8896.445810815,8896.448507936,8910.054125876,8910.054412783,8910.054432129
23,8910.055535408,8910.05759446,8910.058577892,8910.058582571,8910.058677136,8910.061492986,8923.677125778,8923.677423162,8923.677443206
24,8923.678571138,8923.680069507,8923.681542873,8923.681547972,8923.681645749,8923.684253962,8937.130194112,8937.130477038,8937.130495476
25,8937.131547282,8937.132927829,8937.134376332,8937.134380592,8937.134477252,8937.13707848,8950.67874475,8950.679092977,8950.679112323
26,8950.680123272,8950.68151248,8950.682933884,8950.682938703,8950.683078944,8950.685610471,8964.312882129,8964.313215271,8964.313234337
27,8964.314256041,8964.315714462,8964.317232456,8964.317237624,8964.317337218,8964.319903316,8977.8185126,8977.818803628,8977.818822694
28,8977.819827707,8977.821269155,8977.822709696,8977.822713956,8977.822812921,8977.825286411,8991.396472591,8991.396759079,8991.396778216
29,8991.397788047,8991.399323222,8991.400754963,8991.400759712,8991.400857001,8991.403460534,9004.992583284,9004.992880108,9004.992899524
30,9004.99419277,9004.996090979,9004.997700465,9004.997705145,9004.997802643,9005.000423706,9018.516312705,9018.516598983,9018.516617212
31,9018.517745144,9018.519272078,9018.520695508,9018.520700327,9018.520800339,9018.523348489,9032.05938942,9032.059689318,9032.059708314
32,9032.060868863,9032.062370514,9032.063813989,9032.063819296,9032.063916236,9032.066467039,9045.644215643,9045.644507159,9045.644527064
33,9045.645642006,9045.64763457,9045.648667239,9045.648671569,9045.648768928,9045.651502226,9059.250349801,9059.250655495,9059.250674212
34,9059.251794113,9059.25382495,9059.254795321,9059.254799651,9059.254898686,9059.257674727,9072.798878319,9072.799190159,9072.799208737
35,9072.800370263,9072.802157215,9072.803151751,9072.803156081,9072.803304982,9072.806145277,9086.393483471,9086.393767933,9086.39378707
36,9086.394937351,9086.396709078,9086.397653049,9086.39765731,9086.397764097,9086.400493484,9099.943523209,9099.943817938,9099.943838611
37,9099.945040505,9099.946859165,9099.947850139,9099.9478544,9099.948068253,9099.950739113,9113.584392867,9113.584680263,9113.58469926
38,9113.585794227,9113.587600456,9113.588611055,9113.588624465,9113.588822184,9113.591409445,9127.080046985,9127.080332565,9127.080353099
39,9127.081529431,9127.08342331,9127.08445116,9127.08445542,9127.084552639,9127.087251994,9140.537895672,9140.538193753,9140.53821289
40,9140.53930206,9140.541277723,9140.5422585,9140.542264157,9140.542360957,9140.545020573,9154.097328957,9154.097622429,9154.097643311
41,9154.098832215,9154.100720646,9154.101674535,9154.101679773,9154.101776642,9154.104465172,9167.556682019,9167.556982544,9167.557002589
42,9167.558108102,9167.559605773,9167.561143882,9167.561148701,9167.561257653,9167.563866424,9181.118552266,9181.118834424,9181.118852373
43,9181.119974858,9181.121916089,9181.12288667,9181.122891349,9181.123011057,9181.125563047,9194.686898942,9194.687200166,9194.687218744
44,9194.688354917,9194.690202771,9194.691231599,9194.69123551,9194.691406062,9194.69391538,9208.256852449,9208.257164639,9208.257184124
45,9208.258300603,9208.260317611,9208.261281487,9208.261286236,9208.261383944,9208.264032246,9221.765088427,9221.765370794,9221.765389442
46,9221.766575831,9221.768128606,9221.769633052,9221.769637871,9221.769841946,9221.772408324,9235.273305478,9235.273590289,9235.273608797
47,9235.27468826,9235.276758278,9235.277741919,9235.277746249,9235.277842909,9235.280528715,9248.944217808,9248.944512677,9248.944532163
48,9248.945584388,9248.946930434,9248.948454784,9248.948459463,9248.948556263,9248.951094774,9262.436314505,9262.43660218,9262.436620827
49,9262.437715306,9262.439275694,9262.440861364,9262.440865625,9262.440989104,9262.443668415,9275.995813999,9275.996137433,9275.996157757
50,9275.997285619,9275.998810668,9276.000346122,9276.000350522,9276.000455982,9276.003104912,9289.485996004,9289.486310358,9289.486330472
51,9289.487472373,9289.489483096,9289.490489226,9289.490493835,9289.490591124,9289.493246968,9303.066581619,9303.066863078,9303.066881097
52,9303.067946033,9303.069516758,9303.070843667,9303.070848905,9303.070946054,9303.073539181,9316.55703761,9316.557339114,9316.557359158
53,9316.55849617,9316.559915968,9316.56140407,9316.561408401,9316.561507226,9316.564116346,9330.12111211,9330.121394477,9330.121414103
54,9330.122458156,9330.124303914,9330.125270235,9330.125274565,9330.125372901,9330.128023368,9343.623017907,9343.623302649,9343.623321855
55,9343.624718955,9343.625995579,9343.627003385,9343.627007576,9343.627110661,9343.62972495,9357.178838596,9357.179143033,9357.179162169
56,9357.180167601,9357.181655284,9357.18312893,9357.18313333,9357.183231596,9357.185706133,9370.580612208,9370.58090575,9370.580925096
57,9370.582320799,9370.5837216,9370.585230446,9370.585235195,9370.585334788,9370.587891249,9384.098753318,9384.099066765,9384.099086739
58,9384.100213275,9384.101641803,9384.103102528,9384.103106788,9384.103205474,9384.105717027,9397.656771625,9397.657102112,9397.657121947
