,"Starting ""Step""",Created knownStepMatrix,Created unknownStepMatrix,"Started ""Compute""",Reshaped Wave Function,Matrix Multiplication,Solved For Independant Terms and Reshaped,"Appended Wave Function and Finished ""Compute""","Computed and Finished ""Step"""
0,87467.988977568,87467.993475469,87467.9969062,87467.99691053,87467.997164332,87468.000343845,87470.198391842,87470.198762907,87470.198768634
1,87470.199665812,87470.201832141,87470.204520042,87470.204523325,87470.204693946,87470.205766984,87472.028116034,87472.028506306,87472.028511544
2,87472.029056094,87472.03121055,87472.03266478,87472.03266904,87472.032801738,87472.033896426,87473.844643765,87473.845011897,87473.845016227
3,87473.84558187,87473.84777397,87473.849239235,87473.849243146,87473.84939065,87473.850530036,87475.638698053,87475.639097613,87475.639102432
4,87475.639723668,87475.641870162,87475.643244913,87475.643248195,87475.643428734,87475.644476629,87477.428131798,87477.428528844,87477.428533663
5,87477.429098886,87477.431259768,87477.432700029,87477.432703801,87477.432846416,87477.433968202,87479.215379589,87479.215758267,87479.215763645
6,87479.216333897,87479.218454549,87479.219881122,87479.219889782,87479.220025274,87479.221161867,87480.985356673,87480.985761612,87480.98576685
7,87480.9863158,87480.988519284,87480.989880137,87480.989883419,87480.990025685,87480.9912009,87483.164243786,87483.164653753,87483.164658922
8,87483.165216183,87483.167766428,87483.169372841,87483.169376263,87483.169531311,87483.171050842,87485.081874637,87485.082313378,87485.082319105
9,87485.083130518,87485.085535284,87485.086944536,87485.086947889,87485.087108383,87485.088127713,87487.256907224,87487.257334791,87487.25733961
10,87487.257957074,87487.260029048,87487.261449405,87487.261453246,87487.261609271,87487.262613794,87489.412718026,87489.413114863,87489.413119961
11,87489.413642302,87489.415920376,87489.417290937,87489.417294848,87489.41742126,87489.418421942,87491.340580725,87491.340969111,87491.340974768
12,87491.341506398,87491.344107976,87491.345564232,87491.345567514,87491.345733317,87491.34674685,87493.566184777,87493.566716686,87493.566722483
13,87493.567356151,87493.569563057,87493.571279749,87493.571283172,87493.571523914,87493.573693106,87495.876837941,87495.877205934,87495.877210264
14,87495.877867747,87495.880056216,87495.881641746,87495.881646007,87495.881788203,87495.883018522,87498.336005732,87498.336403197,87498.336407877
15,87498.337096509,87498.339193416,87498.340494764,87498.340498116,87498.340624808,87498.341642042,87501.055463465,87501.055842912,87501.055847312
16,87501.056419519,87501.058537239,87501.059869805,87501.059872739,87501.059994891,87501.060999623,87503.818906166,87503.81934358,87503.819348748
17,87503.819856632,87503.822204897,87503.823847139,87503.82385098,87503.82399604,87503.825504536,87505.77195263,87505.772341784,87505.772346603
18,87505.772870341,87505.775137799,87505.77652149,87505.776524842,87505.776656841,87505.777699498,87508.215150154,87508.215609917,87508.215615574
19,87508.216218093,87508.218156949,87508.219430849,87508.219433783,87508.219585757,87508.220602712,87510.636008328,87510.636380092,87510.636384911
20,87510.636939309,87510.639036426,87510.640544014,87510.640548414,87510.640680483,87510.641806251,87512.954378088,87512.954791896,87512.954797553
21,87512.955380725,87512.957556622,87512.958904973,87512.958908744,87512.959052547,87512.960041356,87516.956900932,87516.957281845,87516.957286594
22,87516.957919912,87516.960030438,87516.961346942,87516.961350783,87516.961484947,87516.962490868,87519.05391174,87519.05426758,87519.054282945
23,87519.054986873,87519.057052491,87519.058336308,87519.058339661,87519.058468238,87519.059454533,87521.499280831,87521.49960182,87521.499606569
24,87521.500097133,87521.502191944,87521.503550631,87521.503553565,87521.503693177,87521.504707269,87524.393898099,87524.394291583,87524.394297729
25,87524.394937473,87524.397125243,87524.398637371,87524.398641212,87524.398770767,87524.399741976,87529.511915864,87529.51238352,87529.512389735
26,87529.51296341,87529.515662695,87529.51749693,87529.517499793,87529.517693532,87529.518746595,87532.143920347,87532.144448974,87532.14445505
27,87532.145195784,87532.147974549,87532.149896853,87532.149901113,87532.150135779,87532.152078477,87535.279220389,87535.279608356,87535.279614013
28,87535.280285814,87535.282388378,87535.28397328,87535.283977122,87535.284167648,87535.285186908,87539.361069084,87539.361420524,87539.361426321
29,87539.36207696,87539.364246572,87539.365581652,87539.365584516,87539.365706528,87539.3668082,87542.052871659,87542.05320068,87542.053205499
30,87542.053861376,87542.055905693,87542.057195377,87542.057198729,87542.057335688,87542.05836682,87544.349523794,87544.349889132,87544.349892485
31,87544.350414756,87544.352431346,87544.353710065,87544.353712998,87544.353837036,87544.354780378,87546.361405521,87546.361766041,87546.361771209
32,87546.36226729,87546.364370342,87546.365676789,87546.365688662,87546.365836515,87546.366763794,87548.809030686,87548.809399936,87548.809404266
33,87548.809913058,87548.812020162,87548.813349096,87548.813352379,87548.813472785,87548.814378274,87552.323369404,87552.323743402,87552.32374864
