,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,constantStairwellLengthRatios,constantStairwellPotentialRatios,length,backend
0,1.0275788843482262e-08,0.9999678594283613,3.213029585020165e-05,1.0000000000000004,0,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
1,1.2256283421324609e-08,0.999963514178657,3.647356505971977e-05,1.0000000000000002,1,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
2,1.460622875363916e-08,0.9999586207375418,4.136465622963979e-05,1.0000000000000002,2,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
3,1.7396050363476553e-08,0.9999531046563994,4.687794754992521e-05,0.9999999999999997,3,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
4,2.0705645577812273e-08,0.999946891991437,5.30873029174324e-05,1.0,4,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
5,2.4628822285036537e-08,0.9999399009745082,6.007439666930292e-05,0.9999999999999998,5,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
6,2.92757171420849e-08,0.9999320410261263,6.792969815671651e-05,1.0000000000000002,6,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
7,3.477575546513343e-08,0.9999232113909944,7.67538332498555e-05,0.9999999999999997,7,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
8,4.128059604275141e-08,0.9999133007972798,8.665792212400028e-05,0.9999999999999999,8,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
9,4.8967784144640785e-08,0.9999021864726637,9.776455955226177e-05,1.0000000000000002,9,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
10,5.8045110747874966e-08,0.9998897328248578,0.00011020913003138387,1.0,10,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
11,6.87552473337804e-08,0.9998757908000746,0.00012414044467795073,0.9999999999999999,11,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
12,8.138149692748582e-08,0.9998601963865806,0.00013972223192211118,0.9999999999999997,12,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
13,9.62543860251357e-08,0.9998427691245017,0.0001571346211122389,0.9999999999999999,13,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
14,1.1375910951691791e-07,0.9998233107679165,0.00017657547297430165,1.0000000000000004,14,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
15,1.3434396646231745e-07,0.9998016040190977,0.0001982616369358337,1.0,15,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
16,1.5853027581028145e-07,0.9997774108007749,0.00022243066894974585,1.0000000000000004,16,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
17,1.8692367892823989e-07,0.9997504705327921,0.00024934254352900495,1.0,17,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
18,2.2022663303536518e-07,0.9997204988757593,0.00027928089760786447,1.0000000000000002,18,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
19,2.592535134937103e-07,0.9996871852959116,0.00031255545057512604,1.0000000000000002,19,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
20,3.049475740638739e-07,0.9996501909329103,0.0003495041195158515,1.0000000000000002,20,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
21,3.583996830484756e-07,0.9996091470390511,0.00039049456126579476,1.0,21,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
22,4.208703685878277e-07,0.9995636524855319,0.0004359266440998093,1.0000000000000002,22,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
23,4.938146632818979e-07,0.9995132714272863,0.0004862347580503356,0.9999999999999999,23,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
24,5.789099538065333e-07,0.9994575312050836,0.0005418898849625495,1.0,24,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
25,6.780876759215376e-07,0.9993959199878697,0.0006034019244542043,0.9999999999999998,25,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
26,7.935700828423586e-07,0.9993278835415774,0.0006713228883394279,0.9999999999999997,26,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
27,9.279112553272619e-07,0.9992528224595879,0.0007462496291564491,0.9999999999999997,27,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
28,1.0840421819144268e-06,0.9991700902511342,0.0008288257066837706,0.9999999999999999,28,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
29,1.2653237756764055e-06,0.9990789895978209,0.0009197450784032699,0.9999999999999999,29,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
30,1.475605486442706e-06,0.9989787694240438,0.001019754970469417,0.9999999999999997,30,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
31,1.719289618008446e-06,0.998868622930552,0.0011296577798299199,0.9999999999999999,31,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
32,2.001406427899343e-06,0.9987476835652858,0.0012503150282864985,1.0000000000000002,32,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
33,2.3276978881514102e-06,0.9986150213562351,0.0013826509458767413,1.0,33,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
34,2.7047096839338477e-06,0.9984696402932671,0.0015276549970490386,1.0,34,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
35,3.139894327267801e-06,0.9983104754280453,0.001686384677627397,1.0,35,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
36,3.6417286339961127e-06,0.9981363886740868,0.0018599695972791575,1.0,36,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
37,4.2198427228683625e-06,0.9979461657149826,0.002049614442294386,0.9999999999999999,37,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
38,4.885160230060428e-06,0.997738514447456,0.0022566003923138816,0.9999999999999999,38,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
39,5.650062067053095e-06,0.9975120596403777,0.002482290297555361,1.0000000000000002,39,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
40,6.528565643705863e-06,0.9972653390643298,0.0027281323700264182,0.9999999999999999,40,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
41,7.536515925244363e-06,0.9969968028163466,0.002995660667728148,1.0,41,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
42,8.691806118977665e-06,0.9967048087416555,0.0032864994522254836,0.9999999999999999,42,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
43,1.001462016372199e-05,0.9963876187072679,0.0036023666725683878,1.0,43,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
44,1.152769297723911e-05,0.9960433976314491,0.003945074675573557,0.9999999999999999,44,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
45,1.325660048846324e-05,0.9956702111966022,0.0043165322029093765,1.0,45,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
46,1.5230087259898134e-05,0.9952660209454367,0.004718748967303408,1.0,46,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
47,1.748042099999807e-05,0.9948286815657014,0.005153838013298335,0.9999999999999997,47,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
48,2.004376586311167e-05,0.9943559428034262,0.005624013430710831,1.0000000000000002,48,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
49,2.2960614461413446e-05,0.9938454445639209,0.0061315948216177675,1.0,49,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
50,2.6276256052526587e-05,0.9932947138606169,0.006679009883330309,0.9999999999999997,50,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
51,3.0041257615988088e-05,0.9927011695896941,0.007268789152690094,1.0000000000000002,51,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0, 0, 1, 0]",8,numpy
