,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,constantStairwellLengthRatios,constantStairwellPotentialRatios,length,backend
0,1.0275788843482262e-08,0.9999678594283613,3.213029585020165e-05,1.0000000000000004,0,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
1,1.214829660241772e-08,0.9999635000220632,3.648782964038394e-05,1.0000000000000002,1,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
2,1.4301234970474824e-08,0.9999583127659504,4.167293281471275e-05,1.0,2,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
3,1.6797293457824616e-08,0.9999522807337906,4.770246891592041e-05,1.0,3,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
4,1.971255975235359e-08,0.9999454066505221,5.4573636917997436e-05,0.9999999999999999,4,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
5,2.3131954165986697e-08,0.9999376721215454,6.230474650052801e-05,1.0,5,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
6,2.714474285575294e-08,0.999929013099516,7.095975574098692e-05,0.9999999999999998,6,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
7,3.184596051453187e-08,0.9999193121677408,8.065598629833176e-05,0.9999999999999997,7,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
8,3.734265495878755e-08,0.9999084120406291,9.155061671616386e-05,1.0000000000000002,8,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
9,4.376259860560363e-08,0.9998961403755434,0.00010381586185806932,1.0,9,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
10,5.126163852692299e-08,0.9998823306720173,0.00011761806634419427,1.0,10,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
11,6.002681925293745e-08,0.9998668288179776,0.0001331111552033859,1.0000000000000002,11,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
12,7.027635128976076e-08,0.9998494829856995,0.0001504467379495046,1.0000000000000002,12,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
13,8.225884549175706e-08,0.9998301248969534,0.0001697928442013628,1.0000000000000002,13,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
14,9.625486849301769e-08,0.9998085520262533,0.00019135171887819423,1.0,14,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
15,1.1258263207428051e-07,0.9997845185253071,0.00021536889206102118,1.0000000000000002,15,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
16,1.3160874341997724e-07,0.9997577374235028,0.0002421309677537782,1.0,16,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
17,1.537652059363245e-07,0.9997278914375058,0.0002719547972879551,0.9999999999999998,17,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
18,1.7957673892689582e-07,0.9996946453181971,0.0003051751050643903,1.0000000000000004,18,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
19,2.0970597165982277e-07,0.9996576505213982,0.0003421397726300817,1.0,19,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
20,2.450174610498605e-07,0.9996165407742267,0.0003832142083122834,1.0,20,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
21,2.8664367348485777e-07,0.9995709211644958,0.00042879219183052846,0.9999999999999998,21,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
22,3.3600554963400596e-07,0.9995203548034156,0.0004793091910350253,1.0000000000000002,22,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
23,3.947079326923951e-07,0.9994643539111544,0.0005352513809126586,0.9999999999999998,23,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
24,4.6422611050262167e-07,0.9994023785195179,0.000597157254371603,1.0,24,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
25,5.453351924537967e-07,0.9993338405967788,0.0006656140680287112,0.9999999999999999,25,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
26,6.372947264321445e-07,0.9992581098302863,0.0007412528749873367,1.0,26,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
27,7.368627794488646e-07,0.9991745153041848,0.0008247478330358621,1.0,27,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
28,8.372847150553367e-07,0.9990823467807635,0.0009168159345215637,1.0,28,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
29,9.275492644499951e-07,0.9989808426265848,0.0010182298241504962,0.9999999999999998,29,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
30,9.927204579719024e-07,0.9988691912035772,0.0011298160759649343,1.0,30,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
31,1.0189478900083399e-06,0.9987464994228942,0.0012524816292158046,1.0,31,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
32,1.0245824239238715e-06,0.9986118194199874,0.0013871559975889452,1.0000000000000002,32,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
33,1.1269100468534183e-06,0.998464086012735,0.0015347870772180613,0.9999999999999999,33,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
34,1.3587799313610158e-06,0.9983022406823086,0.001696400537760041,1.0,34,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
35,1.860706461954104e-06,0.9981250373060324,0.0018731019875057042,1.0,35,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
36,2.6417249966170903e-06,0.9979312826180305,0.0020660756569729393,1.0,36,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
37,3.771722979066254e-06,0.997719639580777,0.002276588696243619,0.9999999999999997,37,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
38,5.321952312813679e-06,0.9974886806559039,0.002505997391783119,0.9999999999999999,38,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
39,7.271266633761991e-06,0.9972369717399272,0.0027557569934393723,1.0000000000000004,39,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
40,9.69580737822204e-06,0.9969628780941375,0.003027426098484261,1.0,40,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
41,1.2600638414824462e-05,0.9966647346607076,0.003322664700877365,0.9999999999999998,41,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
42,1.602544932618835e-05,0.9963407415101082,0.0036432330405656898,1.0,42,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
43,2.0001185763296398e-05,0.9959890101230131,0.003990988691223669,1.0,43,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
44,2.4572617771788363e-05,0.9956075465483551,0.004367880833873052,1.0,44,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
45,2.98009481137487e-05,0.9951942512578583,0.00477594779402786,0.9999999999999999,45,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
46,3.576691908951649e-05,0.9947469130391424,0.005217320041768236,1.0000000000000002,46,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 0.3333333333333333, 0.6666666666666666, 1, 0]",8,numpy
