,Post-Barrier-Probabilities,Pre-Barrier-Probabilities,Intra-Barrier-Probabilities,Total-Probability,Time,spatialStep,temporalStep,courantNumber,pointCount,barrierStart,barrierWidth,potentialHeight,packetStartX,packetStartY,packetStandardDeviation,packetWaveNumber,constantStairwellLengthRatios,constantStairwellPotentialRatios,length,backend
0,1.0275788843482262e-08,0.9999678594283613,3.213029585020165e-05,1.0000000000000004,0,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
1,1.2226222108364187e-08,0.9999635064522091,3.648132156883488e-05,1.0,1,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
2,1.4583529030565327e-08,0.9999585034207037,4.148199576742731e-05,1.0000000000000002,2,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
3,1.7411563045607573e-08,0.9999527928414095,4.7189747027647855e-05,1.0000000000000002,3,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
4,2.0778309689069388e-08,0.9999463276412347,5.365158045542604e-05,0.9999999999999998,4,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
5,2.476694203828648e-08,0.9999390479705577,6.0927262500140244e-05,0.9999999999999999,5,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
6,2.948322386350046e-08,0.9999308693779669,6.910113880900081e-05,0.9999999999999998,6,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
7,3.5059384771464506e-08,0.9999216793729397,7.828556767509047e-05,0.9999999999999996,7,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
8,4.165366429631578e-08,0.9999113442981372,8.861404819868043e-05,1.0000000000000002,8,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
9,4.944857907764329e-08,0.9998997200073867,0.00010023054403440738,1.0000000000000002,9,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
10,5.8651185268799616e-08,0.9998866595460733,0.00011328180274128221,0.9999999999999998,10,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
11,6.949694593543569e-08,0.9998720141897574,0.00012791631329663183,0.9999999999999999,11,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
12,8.22578677006054e-08,0.9998556263508572,0.00014429139127501332,0.9999999999999999,12,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
13,9.725264114377098e-08,0.9998373191508229,0.00016258359653567762,0.9999999999999997,13,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
14,1.1485631700407512e-07,0.9998168880760128,0.00018299706767020316,1.0,14,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
15,1.355083155796004e-07,0.9997940984289705,0.00020576606271377007,0.9999999999999999,15,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
16,1.5972024585308708e-07,0.9997686883024992,0.00023115197725519302,1.0000000000000002,16,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
17,1.8808676837033372e-07,0.9997403743108213,0.00025943760241012515,0.9999999999999998,17,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
18,2.2130354460465828e-07,0.9997088559265288,0.00029092276992670745,1.0000000000000002,18,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
19,2.601960489191764e-07,0.9996738135625683,0.00032592624138279953,1.0,19,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
20,3.05755068873922e-07,0.9996349019656712,0.0003647922792599713,1.0,20,0.05,0.0006250000000000001,1.0,160,0.45,0.1,200,0.8,0.5,0.5,47.12388980384689,"[0.25, 0.1, 0.1, 0.1, 0.44999999999999996]","[0, 1, 0.6666666666666666, 0.3333333333333333, 0]",8,numpy
